# Year	Month	Mean_T	Sum_P	Sum_pet
2085	2	4.42857	91.1	20.5
2086	2	-3.45357	20.8	15.6
2087	2	-0.175862	76.5	14.9
2088	2	-0.425	63.6	18.8
2089	2	2.16207	75.8	16.9
2090	2	-3.45357	20.8	15.6
2091	2	4.78276	97.6	23.8
2092	2	-0.425	63.6	18.8
2093	2	1.31786	134	16.1
2094	2	6.85714	70.4	21.9
2095	2	1.43214	31	19.2
2096	2	4.95172	62.6	25.7
2097	2	2.16207	75.8	16.9
2098	2	0.0931035	84.7	15.1
2099	2	4.57143	52.8	31
2100	2	6.45357	86.8	23.7
2101	2	3.33103	17.4	24.8
2102	2	-1.36071	26.5	16.9
2103	2	0.807143	92	13.8
2104	2	4.19286	39.4	17.9
2105	2	1.46786	74.3	14.5
2106	2	7.1	103.1	35.4
2107	2	5.55	55.9	24.7
2108	2	4.73793	68.2	25.6
2109	2	1.41071	28.3	23
2110	2	-5.825	7.8	15.3
2111	2	1.41071	28.3	23
2112	2	3.92414	26.9	19.5
2113	2	-0.175862	76.5	14.9
2114	2	4.95172	62.6	25.7
2115	2	4.77857	10.5	24.1
2116	2	4.77857	10.5	24.1
2117	2	3.61786	77.9	18.1
2118	2	2.83214	17.6	21.7
2119	2	6.85714	70.4	21.9
2120	2	4.73793	68.2	25.6
2121	2	2.50714	71.1	14.6
2122	2	6.45357	86.8	23.7
2123	2	-3.45357	20.8	15.6
2124	2	3.79643	72.9	20.4
2125	2	-0.425	63.6	18.8
2126	2	1.58966	95.5	18.4
2127	2	0.0285714	51.5	15.5
2128	2	6.12759	155.7	28.7
2129	2	2.5	70.1	16
2130	2	1.52857	104.3	16.1
2131	2	6.45357	86.8	23.7
2132	2	1.46786	74.3	14.5
2133	2	2.37241	58	17.7
2134	2	-5.825	7.8	15.3
2135	2	1.93214	92.4	19.3
2136	2	2.37241	58	17.7
2137	2	6.85714	70.4	21.9
2138	2	4.42857	91.1	20.5
2139	2	6.25357	179.9	27.2
2140	2	6.12759	155.7	28.7
2141	2	1.05	85.8	15.7
2142	2	-0.425	63.6	18.8
2143	2	2.24643	36.2	18.4
2144	2	1.46786	74.3	14.5
2145	2	3.79643	72.9	20.4
2146	2	4.25172	26.6	19.8
2147	2	2.50714	71.1	14.6
2148	2	5.71071	106.2	22.7
2149	2	1.31786	134	16.1
2150	2	1.8069	56.6	16.3
2151	2	3.97586	115.6	22.5
2152	2	4.73793	68.2	25.6
2153	2	5.55	55.9	24.7
2154	2	6.45357	86.8	23.7
2155	2	5.71071	106.2	22.7
2156	2	6.85714	70.4	21.9
2157	2	3.92414	26.9	19.5
2158	2	3.79643	72.9	20.4
2159	2	3.20345	101.3	23
2160	2	5.79286	119.4	21.1
2161	2	3.69655	65.9	23.2
2162	2	1.41071	28.3	23
2163	2	1.05	85.8	15.7
2164	2	-0.425	63.6	18.8
2165	2	-0.832143	27.3	19.2
2166	2	3.92414	26.9	19.5
2167	2	1.05	85.8	15.7
2168	2	6.45357	86.8	23.7
2169	2	3.71786	50.6	21.5
2170	2	3.61786	77.9	18.1
2171	2	3.69655	65.9	23.2
2172	2	2.24643	36.2	18.4
2173	2	2.5	70.1	16
2174	2	5.55	55.9	24.7
2175	2	-0.160714	32.8	21.1
2176	2	4.95172	62.6	25.7
2177	2	6.45714	60.4	30.4
2178	2	1.43214	31	19.2
2179	2	3.79643	72.9	20.4
2180	2	0.137931	29.8	15.4
2181	2	6.85714	70.4	21.9
2182	2	1.8069	56.6	16.3
2183	2	0.137931	29.8	15.4
2184	2	4.78276	97.6	23.8
2185	2	-0.425	63.6	18.8
2186	2	3.69655	65.9	23.2
2187	2	1.125	27.6	13.8
2188	2	2.1069	39.1	18.5
2189	2	1.58214	92.1	16.4
2190	2	-3.45357	20.8	15.6
2191	2	3.92414	26.9	19.5
2192	2	-0.175862	76.5	14.9
2193	2	6.85714	70.4	21.9
2194	2	6.12759	155.7	28.7
2195	2	2.50714	71.1	14.6
2196	2	1.43214	31	19.2
2197	2	3.97586	115.6	22.5
2198	2	6.85714	70.4	21.9
2199	2	1.58214	92.1	16.4
2200	2	0.0931035	84.7	15.1
2201	2	1.43214	31	19.2
2202	2	4.78276	97.6	23.8
2203	2	3.79643	72.9	20.4
2204	2	1.8069	56.6	16.3
2205	2	0.0931035	84.7	15.1
2206	2	3.97586	115.6	22.5
2207	2	1.58966	95.5	18.4
2208	2	5.01034	58.6	23
2209	2	-0.425	63.6	18.8
2210	2	-5.825	7.8	15.3
2211	2	4.77857	10.5	24.1
2212	2	4.19286	39.4	17.9
2213	2	1.46786	74.3	14.5
2214	2	3.71034	49.6	21.3
2215	2	1.46786	74.3	14.5
2216	2	1.52857	104.3	16.1
2217	2	3.33103	17.4	24.8
2218	2	4.78276	97.6	23.8
2219	2	1.58966	95.5	18.4
2220	2	5.01034	58.6	23
2221	2	-0.832143	27.3	19.2
2222	2	4.25172	26.6	19.8
2223	2	4.78276	97.6	23.8
2224	2	1.43214	31	19.2
2225	2	1.31786	134	16.1
2226	2	6.45357	86.8	23.7
2227	2	2.24643	36.2	18.4
2228	2	-1.36071	26.5	16.9
2229	2	0.0931035	84.7	15.1
2230	2	3.69655	65.9	23.2
2231	2	3.71786	50.6	21.5
2232	2	2.83214	17.6	21.7
2233	2	3.20345	101.3	23
2234	2	1.46786	74.3	14.5
2235	2	0.4	62.9	13.9
2236	2	5.64643	121.9	26
2237	2	3.20345	101.3	23
2238	2	2.50714	71.1	14.6
2239	2	3.33103	17.4	24.8
2240	2	4.57143	52.8	31
2241	2	1.125	27.6	13.8
2242	2	2.5	70.1	16
2243	2	1.58214	92.1	16.4
2244	2	1.93214	92.4	19.3
2245	2	6.85714	70.4	21.9
2246	2	3.61786	77.9	18.1
2247	2	4.42857	91.1	20.5
2248	2	-1.44483	37.6	14.2
2249	2	4.57143	52.8	31
2250	2	-0.175862	76.5	14.9
2251	2	5.71071	106.2	22.7
2252	2	-0.832143	27.3	19.2
2253	2	1.52857	104.3	16.1
2254	2	0.807143	92	13.8
2255	2	3.92414	26.9	19.5
2256	2	7.1	103.1	35.4
2257	2	4.25172	26.6	19.8
2258	2	2.50714	71.1	14.6
2259	2	3.20345	101.3	23
2260	2	-1.36071	26.5	16.9
2261	2	-0.425	63.6	18.8
2262	2	1.58966	95.5	18.4
2263	2	4.77857	10.5	24.1
2264	2	5.64643	121.9	26
2265	2	1.52857	104.3	16.1
2266	2	2.5	70.1	16
2267	2	-0.160714	32.8	21.1
2268	2	4.42857	91.1	20.5
2269	2	5.79286	119.4	21.1
2270	2	3.97586	115.6	22.5
2271	2	6.45357	86.8	23.7
2272	2	3.97586	115.6	22.5
2273	2	0.137931	29.8	15.4
2274	2	2.5	70.1	16
2275	2	2.5	70.1	16
2276	2	1.8069	56.6	16.3
2277	2	3.71786	50.6	21.5
2278	2	1.31786	134	16.1
2279	2	3.33103	17.4	24.8
2280	2	4.95172	62.6	25.7
2281	2	-0.832143	27.3	19.2
2282	2	2.37241	58	17.7
2283	2	4.77857	10.5	24.1
2284	2	-0.832143	27.3	19.2
2285	2	4.73793	68.2	25.6
2286	2	0.0285714	51.5	15.5
2287	2	4.73793	68.2	25.6
2288	2	2.5	70.1	16
2289	2	4.73793	68.2	25.6
2290	2	5.64643	121.9	26
2291	2	-0.175862	76.5	14.9
2292	2	2.50714	71.1	14.6
2293	2	2.1069	39.1	18.5
2294	2	-1.44483	37.6	14.2
2295	2	-1.36071	26.5	16.9
2296	2	-3.45357	20.8	15.6
2297	2	0.807143	92	13.8
2298	2	2.1069	39.1	18.5
2299	2	6.45714	60.4	30.4
2300	2	5.64643	121.9	26
2301	2	2.83214	17.6	21.7
2302	2	1.8069	56.6	16.3
2303	2	3.71786	50.6	21.5
2304	2	1.125	27.6	13.8
2305	2	4.57143	52.8	31
2306	2	3.71034	49.6	21.3
2307	2	5.32857	64.6	21.3
2308	2	3.97586	115.6	22.5
2309	2	1.58966	95.5	18.4
2310	2	-0.175862	76.5	14.9
2311	2	3.33103	17.4	24.8
2312	2	0.428571	49	18.5
2313	2	3.79643	72.9	20.4
2314	2	4.57143	52.8	31
2315	2	3.33103	17.4	24.8
2316	2	3.61786	77.9	18.1
2317	2	2.50714	71.1	14.6
2318	2	5.71071	106.2	22.7
2319	2	3.79643	72.9	20.4
2320	2	6.45714	60.4	30.4
2321	2	3.92414	26.9	19.5
2322	2	6.12759	155.7	28.7
2323	2	2.37241	58	17.7
2324	2	6.85714	70.4	21.9
2325	2	3.92414	26.9	19.5
2326	2	0.4	62.9	13.9
2327	2	4.25172	26.6	19.8
2328	2	0.4	62.9	13.9
2329	2	4.25172	26.6	19.8
2330	2	-3.45357	20.8	15.6
2331	2	-0.175862	76.5	14.9
2332	2	6.85714	70.4	21.9
2333	2	1.8069	56.6	16.3
2334	2	1.46786	74.3	14.5
2335	2	1.31786	134	16.1
2336	2	0.0285714	51.5	15.5
2337	2	5.01034	58.6	23
2338	2	2.16207	75.8	16.9
2339	2	-5.825	7.8	15.3
2340	2	0.428571	49	18.5
2341	2	2.37241	58	17.7
2342	2	-3.45357	20.8	15.6
2343	2	5.55	55.9	24.7
2344	2	4.77857	10.5	24.1
2345	2	3.71786	50.6	21.5
2346	2	0.4	62.9	13.9
2347	2	1.52857	104.3	16.1
2348	2	1.46786	74.3	14.5
2349	2	4.57143	52.8	31
2350	2	3.33103	17.4	24.8
2351	2	1.46786	74.3	14.5
2352	2	-0.425	63.6	18.8
2353	2	0.807143	92	13.8
2354	2	1.41071	28.3	23
2355	2	3.97586	115.6	22.5
2356	2	4.95172	62.6	25.7
2357	2	6.85714	70.4	21.9
2358	2	3.71034	49.6	21.3
2359	2	-3.45357	20.8	15.6
2360	2	6.25357	179.9	27.2
2361	2	3.71034	49.6	21.3
2362	2	6.85714	70.4	21.9
2363	2	0.137931	29.8	15.4
2364	2	5.64643	121.9	26
2365	2	3.97586	115.6	22.5
2366	2	5.79286	119.4	21.1
2367	2	5.79286	119.4	21.1
2368	2	0.137931	29.8	15.4
2369	2	1.31786	134	16.1
2370	2	4.25172	26.6	19.8
2371	2	1.93214	92.4	19.3
2372	2	-0.160714	32.8	21.1
2373	2	3.71786	50.6	21.5
2374	2	1.41071	28.3	23
2375	2	5.64643	121.9	26
2376	2	1.125	27.6	13.8
2377	2	3.71034	49.6	21.3
2378	2	-1.36071	26.5	16.9
2379	2	4.95172	62.6	25.7
2380	2	3.61786	77.9	18.1
2381	2	0.137931	29.8	15.4
2382	2	-0.160714	32.8	21.1
2383	2	5.01034	58.6	23
2384	2	4.25172	26.6	19.8
2385	2	5.32857	64.6	21.3
2386	2	1.31786	134	16.1
2387	2	3.71034	49.6	21.3
2388	2	1.58966	95.5	18.4
2389	2	-0.175862	76.5	14.9
2390	2	-5.825	7.8	15.3
2391	2	5.79286	119.4	21.1
2392	2	0.137931	29.8	15.4
2393	2	-1.44483	37.6	14.2
2394	2	-1.44483	37.6	14.2
2395	2	3.69655	65.9	23.2
2396	2	-0.425	63.6	18.8
2397	2	-5.825	7.8	15.3
2398	2	3.97586	115.6	22.5
2399	2	4.25172	26.6	19.8
2400	2	4.42857	91.1	20.5
2401	2	-5.825	7.8	15.3
2402	2	5.71071	106.2	22.7
2403	2	-1.36071	26.5	16.9
2404	2	0.4	62.9	13.9
2405	2	3.33103	17.4	24.8
2406	2	1.05	85.8	15.7
2407	2	5.55	55.9	24.7
2408	2	6.45357	86.8	23.7
2409	2	1.43214	31	19.2
2410	2	0.807143	92	13.8
2411	2	-0.425	63.6	18.8
2412	2	-0.175862	76.5	14.9
2413	2	2.83214	17.6	21.7
2414	2	-3.45357	20.8	15.6
2415	2	5.32857	64.6	21.3
2416	2	4.95172	62.6	25.7
2417	2	2.83214	17.6	21.7
2418	2	5.64643	121.9	26
2419	2	-1.36071	26.5	16.9
2420	2	4.78276	97.6	23.8
2421	2	3.69655	65.9	23.2
2422	2	1.46786	74.3	14.5
2423	2	4.78276	97.6	23.8
2424	2	5.55	55.9	24.7
2425	2	5.01034	58.6	23
2426	2	6.25357	179.9	27.2
2427	2	4.19286	39.4	17.9
2428	2	0.4	62.9	13.9
2429	2	5.01034	58.6	23
2430	2	5.64643	121.9	26
2431	2	1.05	85.8	15.7
2432	2	5.64643	121.9	26
2433	2	5.55	55.9	24.7
2434	2	5.71071	106.2	22.7
2435	2	3.97586	115.6	22.5
2436	2	-1.36071	26.5	16.9
2437	2	6.25357	179.9	27.2
2438	2	3.71034	49.6	21.3
2439	2	6.45357	86.8	23.7
2440	2	1.125	27.6	13.8
2441	2	-0.425	63.6	18.8
2442	2	1.125	27.6	13.8
2443	2	1.52857	104.3	16.1
2444	2	2.83214	17.6	21.7
2445	2	4.19286	39.4	17.9
2446	2	3.69655	65.9	23.2
2447	2	-0.160714	32.8	21.1
2448	2	3.71786	50.6	21.5
2449	2	2.83214	17.6	21.7
2450	2	5.71071	106.2	22.7
2451	2	3.92414	26.9	19.5
2452	2	5.01034	58.6	23
2453	2	1.31786	134	16.1
2454	2	1.41071	28.3	23
2455	2	3.61786	77.9	18.1
2456	2	1.41071	28.3	23
2457	2	5.01034	58.6	23
2458	2	6.85714	70.4	21.9
2459	2	0.0285714	51.5	15.5
2460	2	4.73793	68.2	25.6
2461	2	1.93214	92.4	19.3
2462	2	1.58966	95.5	18.4
2463	2	2.37241	58	17.7
2464	2	0.807143	92	13.8
2465	2	4.73793	68.2	25.6
2466	2	4.57143	52.8	31
2467	2	6.85714	70.4	21.9
2468	2	3.33103	17.4	24.8
2469	2	3.71034	49.6	21.3
2470	2	-0.425	63.6	18.8
2471	2	-0.832143	27.3	19.2
2472	2	3.71786	50.6	21.5
2473	2	6.85714	70.4	21.9
2474	2	3.20345	101.3	23
2475	2	4.57143	52.8	31
2476	2	-1.44483	37.6	14.2
2477	2	3.79643	72.9	20.4
2478	2	-0.425	63.6	18.8
2479	2	5.64643	121.9	26
2480	2	0.428571	49	18.5
2481	2	3.71786	50.6	21.5
2482	2	2.16207	75.8	16.9
2483	2	4.78276	97.6	23.8
2484	2	-0.425	63.6	18.8
2485	2	2.16207	75.8	16.9
2486	2	4.57143	52.8	31
2487	2	2.37241	58	17.7
2488	2	-1.36071	26.5	16.9
2489	2	3.79643	72.9	20.4
2490	2	1.52857	104.3	16.1
2491	2	1.125	27.6	13.8
2492	2	-0.160714	32.8	21.1
2493	2	1.8069	56.6	16.3
2494	2	3.61786	77.9	18.1
2495	2	4.78276	97.6	23.8
2496	2	6.12759	155.7	28.7
2497	2	4.78276	97.6	23.8
2498	2	6.85714	70.4	21.9
2499	2	1.58966	95.5	18.4
2500	2	1.52857	104.3	16.1
1900	3	5.97097	65	32.4
1901	3	8.30968	14.9	51.3
1902	3	8.02258	49.4	44.9
1903	3	6.67419	101.6	42
1904	3	4.73548	101.6	41
1905	3	3.0871	45.6	29.7
1906	3	4.36129	65.1	36.1
1907	3	7.26774	34.5	46.8
1908	3	8.1129	24.8	45
1909	3	6.3129	94.6	38.2
1910	3	3.81935	115.5	33.8
1911	3	3.0871	45.6	29.7
1912	3	4.58437	143.7	32.6
1913	3	5.85806	65.8	44.7
1914	3	4.83871	65.5	41.3
1915	3	5.85806	62.6	37.8
1916	3	4.92581	6.5	50.3
1917	3	5.76774	113.4	36.3
1918	3	6.35806	63.9	49.1
1919	3	4.73548	101.6	41
1920	3	2.78065	31.8	34.2
1921	3	3.02581	44.3	34.7
1922	3	2.39677	85.1	27.2
1923	3	6.3129	94.6	38.2
1924	3	6.35806	63.9	49.1
1925	3	7.26774	34.5	46.8
1926	3	7.50323	92.8	47.2
1927	3	5.97097	65	32.4
1928	3	5.60968	47.4	42.4
1929	3	6.84194	80.9	39
1930	3	4.72903	78	30.6
1931	3	3.88065	29.8	37.4
1932	3	7.1	34.2	42.3
1933	3	3.0871	45.6	29.7
1934	3	7.50323	92.8	47.2
1935	3	5.85806	62.6	37.8
1936	3	6.19032	93.1	50.4
1937	3	5.26774	59.5	36.2
1938	3	3.02581	44.3	34.7
1939	3	4.39355	152	29
1940	3	7.90968	93.1	48.6
1941	3	3.17419	87.7	27.1
1942	3	6.67419	101.6	42
1943	3	4.57742	82.2	29.6
1944	3	1.83548	27	33.1
1945	3	5.26774	59.5	36.2
1946	3	6.12903	160.5	29.9
1947	3	2.00645	51.1	33.9
1948	3	5.73226	62.5	38.5
1949	3	4.39355	152	29
1950	3	5.47188	83.7	35.5
1951	3	7.86129	43.3	39.1
1952	3	4.58437	143.7	32.6
1953	3	6.19032	93.1	50.4
1954	3	7.90968	93.1	48.6
1955	3	2.075	83.3	35.3
1956	3	6.07742	42	48.1
1957	3	5.73226	62.5	38.5
1958	3	8.02258	49.4	44.9
1959	3	4.58437	143.7	32.6
1960	3	3.88065	29.8	37.4
1961	3	6.50968	62.1	41.5
1962	3	7.50323	92.8	47.2
1963	3	8.02258	49.4	44.9
1964	3	8.72903	61.4	53.2
1965	3	3.81935	115.5	33.8
1966	3	5.33226	147.5	35.3
1967	3	2.075	83.3	35.3
1968	3	6.67419	101.6	42
1969	3	2.88387	38	42.1
1970	3	5.47188	83.7	35.5
1971	3	6.84194	80.9	39
1972	3	5.47188	83.7	35.5
1973	3	6.87419	57.9	42.8
1974	3	3.88065	29.8	37.4
1975	3	6.44839	18.4	46.1
1976	3	6.50968	62.1	41.5
1977	3	7.1	34.2	42.3
1978	3	6.85806	68.8	42.4
1979	3	4.57742	82.2	29.6
1980	3	5.97097	65	32.4
1981	3	4.39355	152	29
1982	3	3.02581	44.3	34.7
1983	3	5.60968	47.4	42.4
1984	3	4.44194	58.6	32.6
1985	3	8.1129	24.8	45
1986	3	2.00645	51.1	33.9
1987	3	7.86129	43.3	39.1
1988	3	4.73548	101.6	41
1989	3	6.50968	62.1	41.5
1990	3	4.92581	6.5	50.3
1991	3	6.3129	94.6	38.2
1992	3	2.00645	51.1	33.9
1993	3	6.3129	94.6	38.2
1994	3	6.35806	63.9	49.1
1995	3	4.73548	101.6	41
1996	3	5.85806	65.8	44.7
1997	3	6.19032	93.1	50.4
1998	3	7.50323	92.8	47.2
1999	3	5.35484	37.2	43.4
2000	3	4.96774	68.5	39.2
2001	3	5.85806	65.8	44.7
2002	3	6.3129	94.6	38.2
2003	3	4.72581	65	38.2
2004	3	8.4125	83.3	40.8
2005	3	6.35806	63.9	49.1
2006	3	3.81935	115.5	33.8
2007	3	6.07742	42	48.1
2008	3	5.47188	83.7	35.5
2009	3	7.26774	34.5	46.8
2010	3	4.96774	68.5	39.2
2011	3	6.35806	63.9	49.1
2012	3	4.72581	65	38.2
2013	3	5.35484	37.2	43.4
2014	3	7.26774	34.5	46.8
2015	3	6.3129	94.6	38.2
2016	3	4.58437	143.7	32.6
2017	3	2.00645	51.1	33.9
2018	3	6.87419	57.9	42.8
2019	3	4.72903	78	30.6
2020	3	3.88065	29.8	37.4
2021	3	8.30968	14.9	51.3
2022	3	5.85806	62.6	37.8
2023	3	7.74516	36.8	50.8
2024	3	6.3129	94.6	38.2
2025	3	7.1	34.2	42.3
2026	3	4.57742	82.2	29.6
2027	3	4.57742	82.2	29.6
2028	3	7.50323	92.8	47.2
2029	3	4.36129	65.1	36.1
2030	3	5.85806	62.6	37.8
2031	3	8.30968	14.9	51.3
2032	3	6.12903	51.3	40.6
2033	3	5.85806	65.8	44.7
2034	3	2.78065	31.8	34.2
2035	3	5.35484	37.2	43.4
2036	3	6.35806	63.9	49.1
2037	3	6.44839	18.4	46.1
2038	3	6.35806	63.9	49.1
2039	3	6.35806	63.9	49.1
2040	3	3.17419	87.7	27.1
2041	3	6.12903	51.3	40.6
2042	3	5.85806	65.8	44.7
2043	3	8.4125	83.3	40.8
2044	3	5.97097	65	32.4
2045	3	8.30968	14.9	51.3
2046	3	8.1129	24.8	45
2047	3	6.85806	68.8	42.4
2048	3	5.47188	83.7	35.5
2049	3	8.72903	61.4	53.2
2050	3	4.58437	143.7	32.6
2051	3	6.44839	18.4	46.1
2052	3	7.50323	92.8	47.2
2053	3	4.57742	82.2	29.6
2054	3	8.02258	49.4	44.9
2055	3	4.58437	143.7	32.6
2056	3	6.67419	101.6	42
2057	3	7.74516	36.8	50.8
2058	3	2.39677	85.1	27.2
2059	3	2.78065	31.8	34.2
2060	3	8.30968	14.9	51.3
2061	3	3.88065	29.8	37.4
2062	3	4.23226	114.3	25.9
2063	3	6.3129	94.6	38.2
2064	3	8.30968	14.9	51.3
2065	3	5.35484	37.2	43.4
2066	3	7.74516	36.8	50.8
2067	3	6.84194	80.9	39
2068	3	5.97097	65	32.4
2069	3	4.57742	82.2	29.6
2070	3	4.36129	65.1	36.1
2071	3	5.84839	75.4	31.5
2072	3	4.39355	152	29
2073	3	5.97097	65	32.4
2074	3	7.26774	34.5	46.8
2075	3	7.50323	92.8	47.2
2076	3	5.97097	65	32.4
2077	3	5.35484	37.2	43.4
2078	3	8.1129	24.8	45
2079	3	2.00645	51.1	33.9
2080	3	6.96875	69.6	43
2081	3	6.07742	42	48.1
2082	3	4.39355	152	29
2083	3	2.39677	85.1	27.2
2084	3	2.00645	51.1	33.9
2085	3	4.44194	58.6	32.6
2086	3	4.92581	6.5	50.3
2087	3	6.87419	57.9	42.8
2088	3	4.36129	65.1	36.1
2089	3	3.31935	94.9	33.5
2090	3	2.78065	31.8	34.2
2091	3	6.19032	93.1	50.4
2092	3	5.85806	62.6	37.8
2093	3	5.97097	65	32.4
2094	3	5.97097	65	32.4
2095	3	7.90968	93.1	48.6
2096	3	2.39677	85.1	27.2
2097	3	6.07742	42	48.1
2098	3	5.76774	113.4	36.3
2099	3	2.88387	38	42.1
2100	3	6.3129	94.6	38.2
2101	3	2.78065	31.8	34.2
2102	3	5.73226	62.5	38.5
2103	3	7.90968	93.1	48.6
2104	3	6.67419	101.6	42
2105	3	4.72581	65	38.2
2106	3	6.19032	93.1	50.4
2107	3	8.4125	83.3	40.8
2108	3	7.1	34.2	42.3
2109	3	6.44839	18.4	46.1
2110	3	4.72903	78	30.6
2111	3	3.31935	94.9	33.5
2112	3	4.57742	82.2	29.6
2113	3	2.88387	38	42.1
2114	3	6.07742	42	48.1
2115	3	6.85806	68.8	42.4
2116	3	4.39355	152	29
2117	3	6.07742	42	48.1
2118	3	7.26774	34.5	46.8
2119	3	6.19032	93.1	50.4
2120	3	5.60968	47.4	42.4
2121	3	6.50968	62.1	41.5
2122	3	5.26774	59.5	36.2
2123	3	5.60968	47.4	42.4
2124	3	6.84194	80.9	39
2125	3	6.84194	80.9	39
2126	3	3.31935	94.9	33.5
2127	3	2.00645	51.1	33.9
2128	3	2.00645	51.1	33.9
2129	3	4.72903	78	30.6
2130	3	4.44194	58.6	32.6
2131	3	6.85806	68.8	42.4
2132	3	7.1	34.2	42.3
2133	3	3.17419	87.7	27.1
2134	3	6.84194	80.9	39
2135	3	4.83871	65.5	41.3
2136	3	2.075	83.3	35.3
2137	3	5.76774	113.4	36.3
2138	3	2.075	83.3	35.3
2139	3	6.84194	80.9	39
2140	3	4.57742	82.2	29.6
2141	3	5.84839	75.4	31.5
2142	3	4.73548	101.6	41
2143	3	1.80968	76.3	29.6
2144	3	6.96875	69.6	43
2145	3	4.92581	6.5	50.3
2146	3	3.02581	44.3	34.7
2147	3	8.30968	14.9	51.3
2148	3	7.50323	92.8	47.2
2149	3	8.02258	49.4	44.9
2150	3	4.72581	65	38.2
2151	3	6.85806	68.8	42.4
2152	3	5.73226	62.5	38.5
2153	3	6.87419	57.9	42.8
2154	3	5.60968	47.4	42.4
2155	3	6.84194	80.9	39
2156	3	2.075	83.3	35.3
2157	3	3.02581	44.3	34.7
2158	3	5.97097	65	32.4
2159	3	5.84839	75.4	31.5
2160	3	3.17419	87.7	27.1
2161	3	4.72903	78	30.6
2162	3	6.35806	63.9	49.1
2163	3	5.85806	62.6	37.8
2164	3	6.84194	80.9	39
2165	3	6.12903	51.3	40.6
2166	3	3.31935	94.9	33.5
2167	3	6.87419	57.9	42.8
2168	3	5.97097	65	32.4
2169	3	6.87419	57.9	42.8
2170	3	4.44194	58.6	32.6
2171	3	6.3129	94.6	38.2
2172	3	4.44194	58.6	32.6
2173	3	6.12903	51.3	40.6
2174	3	2.78065	31.8	34.2
2175	3	4.72581	65	38.2
2176	3	5.84839	75.4	31.5
2177	3	7.86129	43.3	39.1
2178	3	6.12903	51.3	40.6
2179	3	3.88065	29.8	37.4
2180	3	6.07742	42	48.1
2181	3	4.72581	65	38.2
2182	3	4.92581	6.5	50.3
2183	3	4.57742	82.2	29.6
2184	3	5.84839	75.4	31.5
2185	3	7.1	34.2	42.3
2186	3	5.97097	65	32.4
2187	3	4.72903	78	30.6
2188	3	2.075	83.3	35.3
2189	3	4.39355	152	29
2190	3	6.84194	80.9	39
2191	3	2.00645	51.1	33.9
2192	3	5.47188	83.7	35.5
2193	3	2.78065	31.8	34.2
2194	3	6.50968	62.1	41.5
2195	3	5.97097	65	32.4
2196	3	4.92581	6.5	50.3
2197	3	8.30968	14.9	51.3
2198	3	7.74516	36.8	50.8
2199	3	7.26774	34.5	46.8
2200	3	6.07742	42	48.1
2201	3	2.075	83.3	35.3
2202	3	6.50968	62.1	41.5
2203	3	6.44839	18.4	46.1
2204	3	5.33226	147.5	35.3
2205	3	1.83548	27	33.1
2206	3	3.31935	94.9	33.5
2207	3	3.31935	94.9	33.5
2208	3	3.81935	115.5	33.8
2209	3	6.31936	70.5	38.9
2210	3	7.1	34.2	42.3
2211	3	2.075	83.3	35.3
2212	3	3.17419	87.7	27.1
2213	3	7.26774	34.5	46.8
2214	3	7.26774	34.5	46.8
2215	3	6.44839	18.4	46.1
2216	3	8.1129	24.8	45
2217	3	6.96875	69.6	43
2218	3	2.075	83.3	35.3
2219	3	3.02581	44.3	34.7
2220	3	4.23226	114.3	25.9
2221	3	5.85806	62.6	37.8
2222	3	6.44839	18.4	46.1
2223	3	3.31935	94.9	33.5
2224	3	6.12903	51.3	40.6
2225	3	4.36129	65.1	36.1
2226	3	7.1	34.2	42.3
2227	3	5.84839	75.4	31.5
2228	3	5.60968	47.4	42.4
2229	3	6.19032	93.1	50.4
2230	3	7.90968	93.1	48.6
2231	3	4.72903	78	30.6
2232	3	4.57742	82.2	29.6
2233	3	6.85806	68.8	42.4
2234	3	4.39355	152	29
2235	3	4.96774	68.5	39.2
2236	3	1.83548	27	33.1
2237	3	8.72903	61.4	53.2
2238	3	8.1129	24.8	45
2239	3	2.075	83.3	35.3
2240	3	7.90968	93.1	48.6
2241	3	5.35484	37.2	43.4
2242	3	5.35484	37.2	43.4
2243	3	6.67419	101.6	42
2244	3	8.02258	49.4	44.9
2245	3	7.50323	92.8	47.2
2246	3	4.39355	152	29
2247	3	2.39677	85.1	27.2
2248	3	6.07742	42	48.1
2249	3	6.50968	62.1	41.5
2250	3	6.84194	80.9	39
2251	3	5.84839	75.4	31.5
2252	3	7.26774	34.5	46.8
2253	3	7.1	34.2	42.3
2254	3	4.83871	65.5	41.3
2255	3	5.84839	75.4	31.5
2256	3	6.12903	160.5	29.9
2257	3	2.88387	38	42.1
2258	3	2.00645	51.1	33.9
2259	3	8.4125	83.3	40.8
2260	3	5.85806	65.8	44.7
2261	3	4.36129	65.1	36.1
2262	3	5.60968	47.4	42.4
2263	3	7.90968	93.1	48.6
2264	3	3.0871	45.6	29.7
2265	3	3.88065	29.8	37.4
2266	3	7.26774	34.5	46.8
2267	3	4.23226	114.3	25.9
2268	3	4.73548	101.6	41
2269	3	4.39355	152	29
2270	3	6.31936	70.5	38.9
2271	3	4.83871	65.5	41.3
2272	3	3.88065	29.8	37.4
2273	3	3.31935	94.9	33.5
2274	3	7.74516	36.8	50.8
2275	3	4.57742	82.2	29.6
2276	3	5.84839	75.4	31.5
2277	3	4.44194	58.6	32.6
2278	3	5.35484	37.2	43.4
